received,answered,sent,node degree,latency,hops
250,50,300,5,2.0,0
550,300,300,5,50.0,2
300.0,91.66666666666667,300.0,5.0,30.78264,1.30704
113.71470653683551,94.76225544736293,0.0,0.0,69.11012003553246,0.7695283050707
