received,answered,sent,node degree,latency,hops
300,50,350,6,2.0,0
650,350,350,6,289.0,2
350.0,92.85714285714286,350.0,6.0,32.055,1.3715454545454546
124.26253043692711,106.51074037450894,0.0,0.0,73.44680830905067,0.7868875927207429
